,latitude,longitude,altitude
165,37.915425108678015,-122.3343003130498,-29.151987101882696
166,37.91542496107791,-122.33430015274136,-29.151772502809763
167,37.91542545786346,-122.33430152750904,-29.13669104501605
168,37.915425346885236,-122.33430139823456,-29.136139797978103
169,37.91542587839168,-122.33430274227624,-29.125939433462918
170,37.91542580713314,-122.33430264711151,-29.12665294110775
171,37.91542632576685,-122.33430373048722,-29.115358162671328
172,37.91542629808251,-122.33430367239508,-29.11620708927512
173,37.91542667451099,-122.33430436566333,-29.106545669026673
174,37.91542669001872,-122.33430432636663,-29.107317979447544
175,37.915427086686734,-122.33430493482524,-29.127819653600454
176,37.91542715877993,-122.33430489031727,-29.128968251869082
177,37.915427277067145,-122.33430496519844,-29.14304626826197
178,37.9154274130001,-122.33430487476873,-29.143692607991397
179,37.91542765905308,-122.33430496786133,-29.15859474800527
180,37.91542785215095,-122.33430480588565,-29.159588139504194
181,37.91542824755833,-122.33430487795886,-29.15588864404708
182,37.91542848955169,-122.33430466664561,-29.155785172246397
183,37.91542886055711,-122.33430466075545,-29.179842327721417
184,37.9154291546465,-122.3343044346612,-29.1796218380332
185,37.915429640869505,-122.33430436836613,-29.199025730602443
186,37.91542998873463,-122.33430412275072,-29.199644884094596
187,37.915430446880954,-122.33430394277084,-29.226310474798083
188,37.91543083506208,-122.33430369217822,-29.227198142558336
189,37.915431248374716,-122.33430343817776,-29.245461478829384
190,37.91543165147778,-122.3343031492573,-29.246838885359466
191,37.91543203954161,-122.33430284728273,-29.262502945028245
192,37.915432450692236,-122.33430253260397,-29.263259545899928
193,37.91543281318298,-122.33430222166444,-29.27420370373875
194,37.91543322632814,-122.33430188614649,-29.275430992245674
195,37.91543365524451,-122.3343015451553,-29.29501182679087
196,37.91543408090821,-122.3343011676536,-29.296959729865193
197,37.91543447515689,-122.33430077771422,-29.318684284575284
198,37.91543491072245,-122.33430038425172,-29.317871657200158
199,37.91543532887305,-122.33430003313528,-29.323686531744897
200,37.91543578121115,-122.33429964288366,-29.325219022110105
201,37.91543621039939,-122.33429925255281,-29.335116096772254
202,37.915436653185544,-122.33429882611024,-29.337485262192786
203,37.91543705106717,-122.33429847522314,-29.36223231162876
204,37.91543751506597,-122.33429805041636,-29.362937029451132
205,37.91543795345815,-122.33429759929201,-29.387232599779963
206,37.91543843778038,-122.33429717189742,-29.388879067264497
207,37.915438887881685,-122.3342967656394,-29.41467219684273
208,37.91543938290622,-122.33429633335584,-29.416043009608984
209,37.91543989997094,-122.33429606296347,-29.42321716528386
210,37.91544041407615,-122.33429564020979,-29.42331745196134
211,37.91544091292167,-122.3342953254938,-29.438174571841955
212,37.91544145160288,-122.33429502135273,-29.446900956332684
213,37.91544196513302,-122.33429472733833,-29.44856999348849
214,37.915442461346956,-122.33429429431227,-29.449903951957822
215,37.91544298874461,-122.33429388299814,-29.451731618493795
216,37.91544355158501,-122.3342935951475,-29.446359147317708
217,37.9154439540276,-122.33429323095285,-29.47031213156879
218,37.91544445894858,-122.33429282410653,-29.471446614712477
219,37.91544490641735,-122.33429239809708,-29.468720773234963
220,37.91544540564967,-122.33429209684051,-29.496459391899407
221,37.91544574902897,-122.33429178804923,-29.508586569689214
222,37.91544626863665,-122.33429142816826,-29.510740821249783
223,37.9154465617552,-122.33429111809852,-29.513950775377452
224,37.915447126540656,-122.3342908100445,-29.502024888060987
225,37.91544742506029,-122.33429072383106,-29.484605511650443
226,37.915447942113765,-122.33429048667949,-29.485200038179755
227,37.91544782582027,-122.33429067136379,-29.477588185109198
228,37.91544831489511,-122.33429052397001,-29.478305623866618
229,37.91544824685566,-122.33429069597227,-29.471331589855254
230,37.9154488462573,-122.33429068786613,-29.473481056280434
231,37.91544877482864,-122.33429101952379,-29.459117845632136
232,37.915449200697246,-122.33429102869944,-29.459712103009224
233,37.91544945404072,-122.33429118073464,-29.46055259089917
234,37.91544983625137,-122.33429125226233,-29.461216027848423
235,37.91545006373212,-122.33429168017054,-29.466939403675497
236,37.915450406376486,-122.334291837895,-29.466415613889694
237,37.91545045210057,-122.33429222448441,-29.463310210965574
238,37.9154507554912,-122.3342924136601,-29.462965935468674
239,37.91545112105922,-122.33429258961093,-29.464622017927468
240,37.915451491860125,-122.33429288734445,-29.468934173695743
241,37.915451843436536,-122.33429307090123,-29.467126097530127
242,37.91545214931487,-122.33429341425457,-29.472317759878933
243,37.91545258297302,-122.33429353371662,-29.475786003284156
244,37.91545287823354,-122.33429381600568,-29.477957228198647
245,37.91545310243172,-122.33429408292892,-29.477858033031225
246,37.91545346273795,-122.33429435771565,-29.458695190027356
247,37.91545352019111,-122.33429469152061,-29.45406663324684
248,37.915453764722265,-122.33429496291136,-29.445657352916896
249,37.915454099638524,-122.33429515950355,-29.446156825870275
250,37.915454268866405,-122.33429546038815,-29.446496265940368
251,37.915454576794936,-122.3342957297241,-29.447987382300198
252,37.91545474420958,-122.3342960150014,-29.437674099579453
253,37.91545492408474,-122.3342963195038,-29.43778529111296
254,37.91545506509339,-122.33429658599401,-29.424708378501236
255,37.915455180339265,-122.33429692181237,-29.423376542516053
256,37.91545527991226,-122.3342972122313,-29.422519530169666
257,37.91545552067538,-122.33429753845854,-29.422050029970706
258,37.91545561418686,-122.33429784106305,-29.413122112862766
259,37.91545580319721,-122.33429820916872,-29.413010840304196
260,37.91545586331301,-122.33429856456921,-29.41371019743383
261,37.915456167951916,-122.33429894341732,-29.41587145626545
262,37.91545625696001,-122.33429926745987,-29.411379107274115
263,37.91545651325588,-122.33429960153126,-29.4062228044495
264,37.91545665078976,-122.33430006212092,-29.40494720544666
265,37.91545689450351,-122.33430054022467,-29.405304183252156
266,37.91545707026261,-122.3343009248006,-29.39562396518886
267,37.915457285110556,-122.33430144105375,-29.401724314317107
268,37.91545744270222,-122.33430188979756,-29.396864466369152
269,37.915457630378185,-122.33430245266574,-29.395237416028976
270,37.91545789242972,-122.33430286184425,-29.397504535503685
271,37.91545810729259,-122.33430345089278,-29.397441420704126
